smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
COCc1ccc(Cc2ccc(C(=O)c3ccccn3)cc2)cc1,-10.246,-8.2045,2.0415,-0.449,xtb_success
CCN(CCS(C)(=O)=O)Cc1ccc(-c2nccn2C)cc1,-9.5903,-6.5374,3.0529,-0.652,xtb_success
O=C(c1cccc(Cc2cncnc2)c1)c1ccc2c(c1)CCCC2,-10.194,-7.9175,2.2765,-0.46,xtb_success
NC(=O)Cc1ccc(CCc2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,-10.0207,-7.0465,2.9742,-0.535,xtb_success
CCCc1cc(OC)c(OC)c(-c2cc(OC)cc(OC)c2OC)c1,-10.1065,-6.5689,3.5377,-0.334,xtb_success
CCCC(=O)N1CCN(C(=O)c2ccc(Nc3nc4c(c(=O)[nH]3)CCC4)cc2)CC1,-10.1516,-7.1268,3.0248,-0.563,xtb_success
C[NH+]1CCC(CCN2CCN(C(=O)c3ccc(CC(C)(C)C)cc3)CC2)CC1,-6.2353,-4.9187,1.3167,-0.692,xtb_success
CCc1ccc(Cc2ccc(CCc3ccc(C[NH3+])cc3)cc2)cc1,-5.6346,-5.4958,0.1388,-0.176,xtb_success
COc1ccccc1NC(=O)c1ccc2c(=O)n(OCC(F)(F)F)c(=O)[nH]c2c1,-10.2774,-8.2905,1.9869,-0.493,xtb_success
COCc1ccc(CCc2ccc(CN(OC)OC)cc2)cc1,-10.5004,-6.2034,4.297,-0.353,xtb_success
Cc1cc(N(Cc2ccc(NC(=O)c3ccoc3)cc2)C(C)C)nn1C,-8.9723,-7.1222,1.8502,-0.52,xtb_success
NC(=O)CCc1ccc(Cc2nc(CCC(N)=O)cs2)cc1,-10.5576,-7.1187,3.4389,-0.56,xtb_success
CCCc1ccc(-c2cc(-c3cc(CC(N)=O)ccn3)ccn2)cc1,-9.9722,-7.4464,2.5258,-0.529,xtb_success
COCCc1ccc(C(=O)N2CCC(CCN(C)CCOC)CC2)cc1,-9.5076,-6.4082,3.0994,-0.551,xtb_success
CCCc1cc(CCC)c(O)c(-c2nc(OC)c(OC)s2)c1,-9.8648,-7.582,2.2829,-0.41,xtb_success
