restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect
53,4,CCCCN(CC)CCN1CCN(c2ccc(F)cc2)CC1,7.577400000000009,0.7306476071744827,1.9370750055384052,307.45700000000005,3.069700000000002,0.0,8.718040816418808,-9.3021,-6.2085,3.0936,-0.299,xtb_success,0.6348953352834961,0.7474999999999999,0.6686767346984472,8.718040816418808,8.985511510298187,62,91,29,neutral
52,9,NC(=O)CCCc1csc(CCc2ccc(CCC(N)=O)cc2)n1,7.564400000000004,0.689920275810404,2.267014025709475,345.4680000000001,2.1541999999999994,0.0,8.682658735334257,-10.4287,-6.9613,3.4674,-0.533,xtb_success,0.7455688126596577,0.7783333333333333,0.7553981688617604,8.682658735334257,8.984818002878962,157,92,-65,physically_promoted
52,7,NC(=O)CCc1ccc(CCN(CC(N)=O)CC2CCCCC2)cc1,7.551900000000006,0.6796242347192738,2.212083088831029,345.48700000000014,2.0146,0.0,8.67050380847654,-9.5879,-5.9614,3.6264,-0.541,xtb_success,0.7899014248321972,0.765,0.7824309973825379,8.67050380847654,8.983476207429554,193,93,-100,physically_promoted
77,1,O=C(Nc1cc(F)ccc1Cl)c1ccc(-c2cncnc2)cc1,7.558400000000007,0.7844706749215086,1.880617395351457,327.746,4.188400000000002,0.0,8.762573597925616,-10.2484,-7.8998,2.3486,-0.482,xtb_success,0.41530576579338085,0.8633333333333334,0.5497140360553665,8.762573597925616,8.982459212347763,25,94,69,neutral
59,6,COCc1ccc(Cc2ccc(-c3ccccn3)cc2OC)cc1,7.567200000000009,0.6704121399149667,1.8952791776163915,319.4040000000001,4.494400000000003,0.0,8.712807111519362,-10.0211,-7.0914,2.9297,-0.352,xtb_success,0.5852198085278688,0.8799999999999999,0.6736538659695082,8.712807111519362,8.982268657907166,73,95,22,neutral
43,22,COCCc1cc(Cc2ccc(Cc3cc(OC)ccn3)cc2)ccn1,7.594300000000007,0.6200479362860805,2.257952363957587,348.446,3.8557000000000032,0.0,8.678528731747289,-9.955,-6.6126,3.3424,-0.346,xtb_success,0.7093155982275743,0.8649999999999999,0.7560209187593019,8.678528731747289,8.98093709925101,163,96,-67,physically_promoted
27,5,C#COc1ccc(-c2ccc(CCC)cc2)c([C@@H]2CCS(=O)(=O)C2)c1,7.614100000000011,0.7567738959828381,3.1164968856442137,354.47100000000006,4.177700000000002,0.0,8.680837259427008,-10.2551,-6.5324,3.7227,-0.643,xtb_success,0.8155138193118447,0.595,0.7493596735182912,8.680837259427008,8.980581128834325,160,97,-63,physically_promoted
27,15,CCCc1cc(-c2ccc(-c3cc(CC(N)=O)ccn3)cc2)ccn1,7.598500000000005,0.7469085672888974,2.187630082330488,331.419,3.7909000000000015,0.0,8.753191275411405,-9.93,-7.3682,2.5618,-0.529,xtb_success,0.4756360086421916,0.785,0.5684452060495341,8.753191275411405,8.980569357831218,31,98,67,neutral
68,3,COc1ccc(Cc2cc(C(CC(N)=O)CC(N)=O)ccn2)cc1F,7.5652000000000035,0.7580817839668424,2.504778995373968,345.374,1.6545,0.0,8.693762992446029,-10.0466,-6.7651,3.2815,-0.534,xtb_success,0.6913180533837774,0.7766666666666666,0.7169226373686441,8.693762992446029,8.980532047393487,130,99,-31,physically_promoted
31,3,Cc1ccc(-c2nc(C[C@H](O)CC(=O)OC(C)C)cs2)cc1,7.579200000000011,0.8294574648690655,2.707847865684931,319.426,3.363620000000002,0.0,8.723078052837092,-10.3879,-7.6124,2.7755,-0.488,xtb_success,0.538725005981551,0.8533333333333334,0.6331075041870857,8.723078052837092,8.976321054511926,54,100,46,neutral
52,15,NC(=O)CCc1ccc(CCc2nc(CCC(N)=O)cs2)cc1,7.529600000000004,0.7321240008514395,2.24218640019277,331.441,1.7640999999999991,0.0,8.671443360406446,-10.4007,-6.9115,3.4892,-0.534,xtb_success,0.7517777228812393,0.7766666666666666,0.7592444060168675,8.671443360406446,8.975141122813193,190,101,-89,physically_promoted
42,9,COCc1ccc(Cc2cc(Cc3ccc(OC)cc3)ccn2)cc1,7.546000000000005,0.6413053438422793,1.9536984437635765,333.431,4.418200000000003,0.0,8.671282827544786,-9.9649,-6.6276,3.3373,-0.351,xtb_success,0.7078157839891334,0.8775,0.7587210487923933,8.671282827544786,8.974771247061744,191,102,-89,physically_promoted
14,6,COCCc1ccc(C(=O)N2CCC(CCN(C)CCOC)CC2)cc1,7.602400000000005,0.6417600007839686,2.170535518569689,362.5140000000002,2.6960000000000006,0.0,8.70622644853502,-9.5076,-6.4082,3.0994,-0.551,xtb_success,0.6366501145732585,0.7483333333333333,0.6701550802012809,8.70622644853502,8.974288480615533,93,103,10,neutral
14,1,COCCN(C)C(=O)Nc1cc(C(=O)c2cc(Cl)ccc2C)ccc1F,7.5902000000000065,0.7687599797051226,2.137123964003207,378.8310000000001,4.128620000000003,0.0,8.760867593452247,-10.4481,-8.0281,2.4199,-0.553,xtb_success,0.43512823368719816,0.745,0.5280897635810387,8.760867593452247,8.972103498884662,26,104,78,neutral
